60.251.232.240:995#TW 台湾优选1
220.128.110.108:43#TW 台湾优选2
1.162.72.5:8443#TW 台湾优选3
162.159.46.77:443#TW 台湾优选4
173.245.59.19:2087#TW 台湾优选5
8.35.211.184:8443#TW 台湾优选6
198.41.223.238:2096#TW 台湾优选7
162.159.45.229:443#TW 台湾优选8
162.159.43.149:2053#TW 台湾优选9
198.41.223.43:2096#TW 台湾优选10
8.35.211.139:8443#TW 台湾优选11
8.39.125.122:2087#TW 台湾优选12
198.41.223.148:2053#TW 台湾优选13
198.41.223.145:443#TW 台湾优选14
8.35.211.0:8443#TW 台湾优选15
173.245.58.198:2053#TW 台湾优选16
198.41.223.35:8443#TW 台湾优选17
162.159.43.151:2083#TW 台湾优选18
8.35.211.28:2096#TW 台湾优选19
162.159.37.45:443#TW 台湾优选20
173.245.58.244:2087#TW 台湾优选21
173.245.59.175:443#TW 台湾优选22
198.41.223.239:2053#TW 台湾优选23
162.159.38.82:2053#TW 台湾优选24
162.159.45.218:2087#TW 台湾优选25
8.35.211.242:2096#TW 台湾优选26
198.41.223.207:2096#TW 台湾优选27
162.159.44.156:2096#TW 台湾优选28
8.39.125.13:2087#TW 台湾优选29
8.39.125.11:2053#TW 台湾优选30
173.245.59.97:8443#TW 台湾优选31
162.159.36.44:2053#TW 台湾优选32
162.159.41.111:2083#TW 台湾优选33
8.39.125.67:2087#TW 台湾优选34
8.39.125.201:2053#TW 台湾优选35

优选.cf.090227.xyz#TW 台湾域名1
8.889288.xyz#TW 台湾域名2
baka.fun#TW 台湾域名3
bestcf.030101.xyz#TW 台湾域名4
bestcf.top#TW 台湾域名5
cdn.2020111.xyz#TW 台湾域名6
cdn.204910.best#TW 台湾域名7
cdn.31514926.xyz#TW 台湾域名8
cdn.7zz.cn#TW 台湾域名9
cdn.tzpro.xyz#TW 台湾域名10
cf.0sm.com#TW 台湾域名11
cf.090227.xyz#TW 台湾域名12
cf.3666888.xyz#TW 台湾域名13
cf.553314.xyz#TW 台湾域名14
cf.877771.xyz#TW 台湾域名15
cf.877774.xyz#TW 台湾域名16
cf-cname.xingpingcn.top#TW 台湾域名17
cf.ircf.space#TW 台湾域名18
cf.mubaiovo.top#TW 台湾域名19
cf.tencentapp.cn#TW 台湾域名20
cf.zhetengsha.eu.org#TW 台湾域名21
cf1.tencentapp.cn#TW 台湾域名22
cf2.tencentapp.cn#TW 台湾域名23
cfip.1323123.xyz#TW 台湾域名24
cfip.cfcdn.vip#TW 台湾域名25
cfip.xxxxxxxx.tk#TW 台湾域名26
cfip-avg.stoeaves.us.ci#TW 台湾域名27
cfip-ct.stoeaves.us.ci#TW 台湾域名28
cfip-cu.stoeaves.us.ci#TW 台湾域名29
cfvip.cf.3666888.xyz#TW 台湾域名30
china-telecom.cname.cloudflare.468123.xyz#TW 台湾域名31
cm.hhhhh.eu.org#TW 台湾域名32
cm.mmhh.eu.cc#TW 台湾域名33
cname.xirancdn.us#TW 台湾域名34
cnamefuckxxs.yuchen.icu#TW 台湾域名35
cnllm.com#TW 台湾域名36
cloudflare.182682.xyz#TW 台湾域名37
cloudflare.468123.xyz#TW 台湾域名38
cloudflare.9jy.cc#TW 台湾域名39
cloudflare.cfgo.cc#TW 台湾域名40
cloudflare-dl.byoip.top#TW 台湾域名41
cloudflare-ip.mofashi.ltd#TW 台湾域名42
cloudflare.lingyucat.com#TW 台湾域名43
cloudflare.rainyfall.com#TW 台湾域名44
cloudflare.seeck.cn#TW 台湾域名45
ct.cloudflare.lingyucat.com#TW 台湾域名46
ctcc.cloudflare.seeck.cn#TW 台湾域名47
cu.cloudflare.lingyucat.com#TW 台湾域名48
dbn.ircf.space#TW 台湾域名49
dx.hhhhh.eu.org#TW 台湾域名50
dx.mmhh.eu.cc#TW 台湾域名51
f3058171cad.002404.xyz#TW 台湾域名52
fnp.ircf.space#TW 台湾域名53
fnv.ircf.space#TW 台湾域名54
freeyx.cloudflare88.eu.org#TW 台湾域名55
fw8je9.cf.3666888.xyz#TW 台湾域名56
hfqek.cf.3666888.xyz#TW 台湾域名57
hwb.ircf.space#TW 台湾域名58
icook.hk#TW 台湾域名59
icook.tw#TW 台湾域名60
ipv4.ircf.space#TW 台湾域名61
ipv6.ircf.space#TW 台湾域名62
keji.cf.3666888.xyz#TW 台湾域名63
laitemi.com#TW 台湾域名64
lt.hhhhh.eu.org#TW 台湾域名65
mbt.ircf.space#TW 台湾域名66
mci.ircf.space#TW 台湾域名67
mfa.gov.ua#TW 台湾域名68
mkh.ircf.space#TW 台湾域名69
mtn.ircf.space#TW 台湾域名70
nrtcfdns.zone.id#TW 台湾域名71
openai.com#TW 台湾域名72
openai.hhhhh.eu.org#TW 台湾域名73
prs.ircf.space#TW 台湾域名74
psm.ircf.space#TW 台湾域名75
ptk.ircf.space#TW 台湾域名76
qms.mmhh.eu.cc#TW 台湾域名77
qocu.cf.3666888.xyz#TW 台湾域名78
rsp.ircf.space#TW 台湾域名79
rtl.ircf.space#TW 台湾域名80
