IP地址,端口号,TLS,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
115.163.106.137,443,true,65ms,21.13MB/s,240d:1a:97c:8c00:708b:6dff:fe8d:3183,IPv6,NRT,JP,Asia Pacific,Tokyo,AS2527,Sony Network Communications Inc.
134.195.211.140,8443,true,171ms,12.65MB/s,2607:f130:0:18d::462d:8e74,IPv6,LAX,US,North America,Los Angeles,AS35916,MULTACOM CORPORATION
138.197.194.78,8443,true,163ms,12.56MB/s,2604:a880:2:d1:0:1:26b6:b001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
135.125.191.9,8443,true,193ms,10.76MB/s,135.125.191.9,IPv4,FRA,DE,Europe,Frankfurt,AS16276,OVH SAS
131.143.251.121,443,true,173ms,9.59MB/s,2a12:bec0:68c:1a1::,IPv6,LAX,US,North America,Los Angeles,AS212336,ByteVirt LLC
103.173.179.55,443,true,182ms,9.57MB/s,2406:ef80:4:b833::1,IPv6,NRT,JP,Asia Pacific,Tokyo,AS63473,"HostHatch, LLC"
129.146.121.203,8443,true,171ms,9.54MB/s,2603:c020:5:4e02:c9f5:3d11:c064:4e63,IPv6,LAX,US,North America,Los Angeles,AS31898,Oracle Corporation
107.174.198.228,8443,true,176ms,9.47MB/s,107.174.198.228,IPv4,LAX,US,North America,Los Angeles,AS36352,HostPapa
136.175.179.113,8443,true,167ms,9.45MB/s,2605:52c0:1001:672:d8c4:19ff:fede:389,IPv6,LAX,US,North America,Los Angeles,AS906,DMIT Cloud Services
109.107.137.154,443,true,62ms,9.13MB/s,2403:71c0:2000:1563::a,IPv6,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation
129.146.46.164,443,true,192ms,9.10MB/s,129.146.46.164,IPv4,LAX,US,North America,Los Angeles,AS31898,Oracle Corporation
104.238.151.14,8443,true,165ms,8.96MB/s,104.238.151.14,IPv4,NRT,JP,Asia Pacific,Tokyo,AS20473,"The Constant Company, LLC"
104.207.157.238,8443,true,192ms,8.95MB/s,2001:19f0:8001:cea:5400:4ff:fe9d:f3a3,IPv6,SEA,US,North America,Seattle,AS20473,"The Constant Company, LLC"
103.201.130.164,8443,true,69ms,8.88MB/s,2a12:a301:2008::10da,IPv6,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation
137.74.41.157,2087,true,200ms,8.64MB/s,2001:41d0:305:2100::980a,IPv6,CDG,FR,Europe,Paris,AS16276,OVH SAS
123.58.199.241,443,true,130ms,8.32MB/s,123.58.199.241,IPv4,SIN,VN,Asia Pacific,Singapore,AS135377,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
128.14.66.42,443,true,162ms,8.09MB/s,128.14.66.42,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
128.127.180.240,2053,true,198ms,8.06MB/s,2a00:1528:be80:ffff:be24:11ff:febf:dd2b,IPv6,BRU,BE,Europe,Brussels,AS6696,VERIXI SA
134.199.142.254,443,true,171ms,7.53MB/s,134.199.234.104,IPv4,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
107.151.188.57,443,true,165ms,7.30MB/s,107.151.188.57,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
130.12.47.173,443,true,173ms,7.17MB/s,2a0d:6c2:6:b47::,IPv6,SJC,US,North America,San Jose,AS400992,ZhouyiSat Communications
13.212.57.14,443,true,57ms,7.14MB/s,2406:da18:1e6f:f600:8edb:a4b5:dce2:5d25,IPv6,SIN,SG,Asia Pacific,Singapore,AS16509,"Amazon.com, Inc."
129.212.167.20,443,true,165ms,7.04MB/s,2604:a880:4:1d0:0:1:f486:6000,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
128.1.205.67,443,true,169ms,6.94MB/s,128.1.205.67,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
107.151.188.115,443,true,163ms,6.92MB/s,107.151.188.115,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
138.197.194.78,2053,true,157ms,6.82MB/s,2604:a880:2:d1:0:1:26b6:b001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
104.168.102.121,2053,true,167ms,6.82MB/s,104.168.102.121,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
128.1.205.76,443,true,163ms,6.80MB/s,128.1.205.76,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
123.111.169.70,2053,true,60ms,6.65MB/s,123.111.169.70,IPv4,ICN,KR,Asia Pacific,Seoul,AS9318,SK Broadband Co Ltd
104.168.132.123,443,true,176ms,6.56MB/s,2607:5501:3000:868::2,IPv6,SEA,US,North America,Seattle,AS54290,Hostwinds LLC.
128.14.66.165,443,true,170ms,6.55MB/s,128.14.66.165,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
103.201.131.96,8443,true,69ms,6.52MB/s,2a12:a301:2009::13,IPv6,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation
109.71.242.243,8443,true,188ms,6.48MB/s,109.71.242.243,IPv4,DME,RU,Europe,Moscow,AS57494,Adman LLC
107.172.216.84,2096,true,164ms,6.45MB/s,107.172.216.84,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
104.160.25.66,443,true,171ms,6.44MB/s,104.160.25.66,IPv4,LAX,US,North America,Los Angeles,AS46805,Angelnet Limited
107.174.81.92,2096,true,186ms,6.28MB/s,2a09:bac5:6369:2da5::48c:6c,IPv6,LAX,US,North America,Los Angeles,AS13335,"Cloudflare, Inc."
107.182.16.52,2053,true,165ms,5.91MB/s,2001:470:c:d10::2,IPv6,LAX,US,North America,Los Angeles,AS6939,Hurricane Electric LLC
107.172.82.140,8443,true,185ms,5.70MB/s,107.172.82.140,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
104.168.82.140,8443,true,186ms,5.54MB/s,104.168.82.140,IPv4,SEA,US,North America,Seattle,AS36352,HostPapa
128.14.66.228,443,true,167ms,5.50MB/s,128.14.66.228,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
107.172.180.151,443,true,184ms,5.47MB/s,2a09:bac5:cad2:1d37::2e9:58,IPv6,SEA,US,North America,Seattle,AS13335,"Cloudflare, Inc."
138.197.194.78,2083,true,163ms,5.42MB/s,2604:a880:2:d1:0:1:26b6:b001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
103.91.219.252,443,true,162ms,5.41MB/s,2401:1740:1000::f1,IPv6,LAX,US,North America,Los Angeles,AS976,CoreNET Inc.
116.203.101.252,443,true,190ms,5.37MB/s,2a01:4f8:1c1a:b4e2::1,IPv6,FRA,DE,Europe,Frankfurt,AS24940,Hetzner Online GmbH
107.174.253.219,8443,true,162ms,5.29MB/s,2a09:bac5:6215:3046::4cf:d,IPv6,SJC,US,North America,San Jose,AS13335,"Cloudflare, Inc."
103.201.130.54,8443,true,70ms,5.20MB/s,2a12:a301:2008::1008,IPv6,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation
107.174.218.15,8443,true,167ms,5.16MB/s,107.174.218.15,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
107.175.140.180,443,true,175ms,5.10MB/s,107.175.140.180,IPv4,LAX,US,North America,Los Angeles,AS36352,HostPapa
116.202.187.28,8443,true,200ms,5.06MB/s,91.98.166.236,IPv4,FRA,DE,Europe,Frankfurt,AS24940,Hetzner Online GmbH
123.111.169.70,2083,true,56ms,5.04MB/s,123.111.169.70,IPv4,ICN,KR,Asia Pacific,Seoul,AS9318,SK Broadband Co Ltd
104.223.41.217,8443,true,172ms,4.85MB/s,104.223.41.217,IPv4,LAX,US,North America,Los Angeles,AS36352,HostPapa
104.223.22.77,2053,true,178ms,4.82MB/s,104.223.22.77,IPv4,LAX,US,North America,Los Angeles,AS36352,HostPapa
107.173.155.70,2053,true,163ms,4.72MB/s,107.173.155.70,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
134.185.97.168,443,true,73ms,4.62MB/s,134.185.97.168,IPv4,ICN,KR,Asia Pacific,Seoul,AS31898,Oracle Corporation
116.203.197.68,2083,true,199ms,4.42MB/s,2a01:4f8:1c19:28ba::1,IPv6,FRA,DE,Europe,Frankfurt,AS24940,Hetzner Online GmbH
128.14.65.36,443,true,174ms,4.36MB/s,128.14.65.36,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
128.140.89.232,443,true,199ms,4.27MB/s,2a01:4f8:c014:1e2e::1,IPv6,FRA,DE,Europe,Frankfurt,AS24940,Hetzner Online GmbH
107.173.154.24,2096,true,173ms,4.19MB/s,107.173.154.24,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
134.199.216.96,443,true,162ms,3.98MB/s,2604:a880:4:1d0:0:2:f73:1000,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
130.12.47.89,443,true,194ms,3.83MB/s,2a0d:6c2:6:b2b::,IPv6,SJC,US,North America,San Jose,AS400992,ZhouyiSat Communications
107.174.252.170,2087,true,175ms,3.73MB/s,107.174.252.170,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
1.162.72.5,8443,true,40ms,3.67MB/s,2001:b011:3808:ecc8:31ef:c97b:f6f:2a1b,IPv6,TPE,TW,Asia Pacific,Taipei,AS3462,Data Communication Business Group
